,question,counts
932,what is the clinical severity of covid,30
933,what was the impact of the covid crisis,30
934,what is the epitope of sars-cov,30
935,what is the role of telemedicine in healthcare,30
936,what is scenario planning,30
937,what is the purpose of the covid-19 study,30
938,what is the clinical classification of covid,30
939,how long does a pandemic last,30
940,when did sars start,30
941,how many cases of covid in pakistan,30
942,what is the sensitivity of elisa,30
943,what is the risk factor for covid 19,30
944,what is svm,30
945,what is social capital,30
946,how contagious is sars,30
947,what is the ct for covid,30
948,how long does it take for a lockdown to occur,30
949,who is informed consent,30
950,what is the normal range for crp,30
951,what is aki,30
952,when did covid 19 become a pandemic,30
953,what is the incidence of aki,30
954,what is ivermectin used for,29
955,when is covid 19 outbreak,29
956,how many people have been infected with sars,29
957,what is the epidemiological characteristics of covid,29
958,what is poc testing,29
959,where is covid-19,29
960,how long does it take for covid to incubate,29
961,what is the function of sars cov,29
962,what is the normal dose of tocilizumab,29
963,when is sars-cov-2 detected,29
964,what is misc,29
965,what is the source of sars,29
966,what is the gender of covid,29
967,what is quercetin,29
968,what is the impact of distancing,29
969,what is the inverse problem,29
970,how long does remdesivir take to work,29
971,what is palliative care,29
972,what is the role of ace2 in lung injury,29
973,what is the challenge of covid,29
974,what is the purpose of informed consent,29
975,what is the threat of covid,29
976,what is the diagnosis of covid-19,29
977,what is lactoferrin,29
978,what is pooled testing,29
979,when is the first case of covid,29
980,what is the vaccine for coronavirus,29
981,what is the sensitivity of iga,29
982,what is the sars cov test,29
983,when did the covid pandemic occur,29
984,what type of cells are affected by sars,29
985,what is the criteria for inclusion in a study,29
986,what is ace2 and tmprss2,29
987,how many cases of coronavirus in china,29
988,how long does tocilizumab take to work,29
989,how many studies were included in the meta-analysis,29
990,what is the transmission of covid,29
991,what is the current outbreak of coronavirus,29
992,what is the benefit of covid,29
993,what is the cfr for covid,29
994,what is the peptide vaccine,28
995,what is covid positive,28
996,why is ppe used,28
997,what is the ifr of covid,28
998,what is the sensitivity of cxr,28
999,what is the bayesian model,28
1000,what is the prognosis for covid,28
1001,what is the causative agent of covid,28
1002,what is the relationship between temperature and covid,28
1003,what is the role of ace2 in the lungs,28
1004,what is wbe,28
1005,how long is covid quarantine,28
1006,what is the transmission dynamics of covid,28
1007,what is the effect of npis,28
1008,what is thalidomide used for,28
1009,what is ai used for,28
1010,when does the covid epidemic start,28
1011,what is the ode model,28
1012,what is the long term effects of covid,28
1013,what is the context of covid,28
1014,what is the spread of sars,28
1015,how long does it take for coronavirus to spread,28
1016,how to estimate reproduction number,28
1017,what is the clinical frailty scale,28
1018,what is the t cell response to sars,28
1019,what is the treatment for covid19,28
1020,what is the incidence of coronavirus,28
1021,what is the sensitivity of chest ct,28
1022,what is crs,28
1023,who declares no conflict of interest,28
1024,what is the impact of the sars pandemic,28
1025,what is the cleavage site of sars-cov-2,28
1026,why is covid-19 a problem,28
1027,how long is a quarantine period,28
1028,what is il-17,28
1029,publisher's note springer nature,28
1030,what is the role of t cells in sars-cov-2,28
1031,when does covid 19 occur,28
1032,what is tacit knowledge,28
1033,how long is sars cov-2 contagious,28
1034,what is the dose of hcq,28
1035,what is the phylogeny of sars cov,28
1036,what is the mechanism of action of sars-cov,28
1037,why is covid-19 important,28
1038,when is covid 19 pandemic,28
1039,where are coronaviruses found,28
1040,what is chest ct,28
1041,what is blockchain technology,28
1042,what is mscs,28
1043,what is nafamostat mesylate,28
1044,what is the purpose of a mathematical model,28
1045,what is the proof of theorem,27
1046,where is sars cov2 detected,27
1047,what is the purpose of a clinical trial,27
1048,what is the effect of the coronavirus pandemic,27
1049,what is the ace2 protein,27
1050,what is the specificity of covid,27
1051,what is rt lamp,27
1052,average length of stay in hospital,27
1053,what is hlh,27
1054,what is the spike protein in sars,27
1055,what is the md simulation,27
1056,what is the genus of coronavirus,27
1057,what is the role of telehealth,27
1058,what is the origin of sars,27
1059,what is the sars-cov gene,27
1060,what is the purpose of a covid study,27
1061,what is the power law distribution,27
1062,when is covid 19 a pandemic,27
1063,what is the incidence of vte,27
1064,where is sars-cov-2 transmitted,27
1065,when is sars cov 2 outbreak,27
1066,when is coronavirus outbreak,27
1067,what is the covid model,27
1068,what is rt pcr assay,27
1069,what is the name of the new coronavirus,27
1070,what is the average age of a sars patient,27
1071,what is the biomarker for covid,27
1072,where does coronavirus come from,27
1073,what is the underlying disease of covid,27
1074,what is the cause of the coronavirus,27
1075,what is ecmo used for,27
1076,what is quarantine,27
1077,what is the risk of covid in children,27
1078,when was covid 19 first reported,27
1079,what is the pcr test for covid,27
1080,how effective is contact tracing,27
1081,what is the pcr reaction,27
1082,what is the effect of sars cov-2,27
1083,why is the pandemic important,27
1084,what is the normal range for vitamin d,27
1085,what is prone position,27
1086,when should a tracheostomy be performed,27
1087,what is financial relationships,27
1088,what is the meaning of covid,27
1089,what is the peak of covid,27
1090,what was the pandemic,27
1091,what is lung ultrasound,27
1092,what is the impact of npis,27
1093,when was covid discovered,27
1094,what is the accuracy of a ct scan,26
1095,what is the function of ace2 in sars,26
1096,what is the treatment for ibd,26
1097,what is the hla allele,26
1098,what is teleconsultation,26
1099,what is the social distancing policy,26
1100,what is the epidemic of covid,26
1101,what is the incidence of sars in children,26
1102,what is the purpose of the covid app,26
1103,what is the covid,26
1104,what is the function of merscov,26
1105,how many people are affected by the covid epidemic,26
1106,what is twitter used for,26
1107,what is the current pandemic of sars,26
1108,what is the role of ace2 in sars-cov2,26
1109,why hand hygiene is important,26
1110,what is the u.s,26
1111,what is the role of ace2 in viral replication,26
1112,what is the bri,26
1113,what is the benefit of hcq,26
1114,what is the limitation of the present study,26
1115,what is the most common comorbid disease,26
1116,what is nlr,26
1117,what is the phylogeny of sars,26
1118,where is spike protein located,26
1119,why is the pandemic a problem,26
1120,when was sars cov-2 detected,26
1121,how many cases of coronavirus,26
1122,where is sars cov found,26
1123,what is the difference between covid and sars,26
1124,what is the pathogen of sars cov-2,26
1125,what is the origin of sars-cov,26
1126,what is the clinical course of sars-cov-2,26
1127,what is the average age of a patient,26
1128,when does sars cov 2 start,26
1129,what is the purpose of quarantine,26
1130,what is igg antibody,26
1131,what is the role of pharmacists in the pandemic,26
1132,what is the prevalence of copd,26
1133,what is the ifn response,26
1134,where is covid 19 spread,26
1135,what is ace2 used for,26
1136,what is the function of ace,26
1137,who wrote the first draft of the manuscript,26
1138,what is the risk of covid in pregnancy,25
1139,what is the pearson correlation coefficient,25
1140,what is the relationship between anxiety and depression,25
1141,what is the treatment for mers,25
1142,what is telemedicina,25
1143,what is the receptor for ace2,25
1144,what is the difference between azithromycin and hydroxychloroquine,25
1145,when did the coronavirus outbreak start,25
1146,what is the risk of covid19,25
1147,what is covid 19 used for,25
1148,what is the gamma distribution,25
1149,what is the sis model,25
1150,what is the sars gene,25
1151,what is the immune response to covid,25
1152,what is cd147,25
1153,what is covid-19 positive,25
1154,what is the r0 of covid,25
1155,when is sars cov 2,25
1156,what is the common symptoms of covid,25
1157,how is sars spread,25
1158,what is the phylogeny of coronavirus,25
1159,where does sars cov-2 come from,25
1160,what is the population of bangladesh,25
1161,what is the latent period,25
1162,what is ace inhibitor,25
1163,what is cq used for,25
1164,why is telemedicine beneficial,25
1165,what is the purpose of twitter,25
